name,RAM,CPU,Storage,Resolution,Refresh rate,GPU,Price
MSI Katana 15 B12VFK-1016XCZ,16 GB,Intel Core i7 12650H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,1 000 GB,"29 990,-"
Lenovo IdeaPad Gaming 3 15ACH6 Shadow Black,16 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,Bez operačního systému,"24 490,-"
Lenovo IdeaPad Pro 5 14IRH8 Arctic Grey celokovový,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2880 × 1800 px,120 Hz,1 000 GB (1 TB),"30 990,-"
MSI Katana GF66 12UD-486CZ,16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,512 GB,"33 990,-"
Lenovo Yoga Slim 7 ProX 14ARH7 Onyx Grey celokovový,16 GB,AMD Ryzen 7 6800HS,1 000 GB (1 TB),3072 × 1920 px,120 Hz,0 ×,"35 590,-"
ASUS TUF Gaming F15 FX506HF-HN028W Graphite Black,8 GB,Intel Core i5 11400H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,Windows 11 Home,"18 990,-"
Lenovo Legion 5 Pro 16ACH6H Storm Grey/Black kovový,16 GB,AMD Ryzen 5 5600H,"512 GB (0,51 TB)",2560 × 1600 px,165 Hz,"512 GB (0,51 TB)","27 989,-"
Acer Predator Helios 300 Abyssal Black kovový,32 GB,Intel Core i9 12900H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"44 990,-"
Lenovo IdeaPad Gaming 3 15IHU6 Shadow Black ,8 GB,Intel Core i5 11320H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,RTX 3050,"17 989,-"
MSI Vector GP66 12UGS-631CZ,16 GB,Intel Core i9 12900H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"57 390,-"
Lenovo IdeaPad Gaming 3 15IHU6 Shadow Black ,16 GB,Intel Core i5 11320H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,512 GB,"16 499,-"
Acer Predator Helios 300 Abyssal Black kovový,16 GB,Intel Core i7 11800H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Windows 11 Home,"37 990,-"
Lenovo IdeaPad Gaming 3 15IAH7 Onyx Grey,8 GB,Intel Core i5 12450H Alder Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,RTX 3050,"17 989,-"
Acer Nitro 16 Obsidian Black,16 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),2560 × 1600 px,165 Hz,1 000 GB,"37 490,-"
Acer Nitro 5 Obsidian Black,32 GB,Intel Core i9 12900H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,Windows 11 Home,"43 990,-"
Lenovo LOQ 15IRH8 Storm Grey,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,NVIDIA GeForce,"34 989,-"
Dell XPS 17 9730,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,NVIDIA GeForce,"97 190,-"
Dell XPS 17 9730,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,NVIDIA GeForce,"89 590,-"
Dell XPS 17 9730,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,Windows 11 Home,"86 090,-"
Dell XPS 17 9730,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,NVIDIA GeForce,"91 590,-"
Dell XPS 17 9730,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,NVIDIA GeForce,"102 290,-"
Acer Predator Triton 16 (PT16-51),32 GB,Intel Core i9 13900H Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,240 Hz,Pevný (klasický notebook),Cena nebyla stanovena
Dell XPS 17 9730,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,NVIDIA GeForce,"99 190,-"
Acer Predator Helios 3D 15 SpatialLabs Edition,32 GB,Intel Core i9 13900HX Raptor Lake,2 000 GB (2 TB),3840 × 2160 px,60 Hz,2 ×,Cena nebyla stanovena
Dell Gaming G15 (5530),16 GB,Intel Core i5 13450HX Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,NVIDIA GeForce,"28 990,-"
Acer Predator Triton 17 X (PTX17-71),64 GB,Intel Core i9 13900HX Raptor Lake,4 000 GB (4 TB),1920 × 1200 px,16:10,", Čtečka paměťových karet, RGB podsvícená klávesnice",Cena nebyla stanovena
Dell XPS 17 9730,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3840 × 2400 px,60 Hz,NVIDIA GeForce,"88 990,-"
Acer ConceptD 7 White celokovový,32 GB,Intel Core i7 10875H Comet Lake,1 000 GB (1 TB),3840 × 2160 px,Intel Core i7,", Operační systém","62 890,-"
Dell XPS 15 9530,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),1920 × 1200 px,60 Hz,NVIDIA GeForce,"79 590,-"
Dell Gaming G15 (5530),16 GB,Intel Core i5 13450HX Raptor Lake,"512 GB (0,51 TB)",1920 × 1080 px,120 Hz,Windows 11 Home,"30 190,-"
ASUS ROG Flow X16 GV601RE-M6027W Off Black,32 GB,AMD Ryzen 7 6800H,1 000 GB (1 TB),2560 × 1600 px,165 Hz,Lze nabíjet přes USB-C,"45 990,-"
GIGABYTE AORUS 15X ASF,16 GB,Intel Core i9 13980HX Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"57 990,-"
Dell XPS 15 9530,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),1920 × 1200 px,60 Hz,NVIDIA GeForce,"64 490,-"
Microsoft Surface Laptop Studio Platinum for business,16 GB,Intel Core i7 11370H Tiger Lake,"512 GB (0,51 TB)",2400 × 1600 px,120 Hz,Bez možnosti nabíjet přes USB-C,"58 390,-"
Dell XPS 15 9530 Touch,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),3456 × 2160 px,60 Hz,NVIDIA GeForce,"81 590,-"
OMEN 16-xf0050nc Shadow black,16 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),2560 × 1440 px,240 Hz,RTX 4060,"38 890,-"
OMEN Trascend 16-u0002nc Shadow Black Celokovový,32 GB,Intel Core i7 13700HX Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,240 Hz,RTX 4070,"57 090,-"
GIGABYTE AORUS 17 BKF,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,"Numerická klávesnice, Operační systém, ","43 990,-"
VICTUS by HP 16-e0021nc Performance Blue,16 GB,AMD Ryzen 5 5600H,1 000 GB (1 TB),1920 × 1080 px,144 Hz,4ks,"25 790,-"
MSI Raider GE78HX 13VI-298CZ,32 GB,Intel Core i9 13980HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,Windows 11 Home,"87 990,-"
Dell XPS 15 9530 Touch,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),3456 × 2160 px,60 Hz,NVIDIA GeForce,"73 990,-"
HP ENVY 16-h1001nc Mica Silver Celokovový,32 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2880 × 1800 px,120 Hz,RTX 4060,"58 990,-"
GIGABYTE AORUS 17 BSF,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,1 000 GB,"48 890,-"
VICTUS by HP 16-s0000nc Performance Blue,32 GB,AMD Ryzen 7 7840HS,1 000 GB (1 TB),1920 × 1080 px,144 Hz,230 W,"41 990,-"
OMEN 16-xf0001nc Shadow black,32 GB,AMD Ryzen 9 7940HS,2 000 GB (2 TB),2560 × 1440 px,240 Hz,RTX 4070,"53 390,-"
Dell XPS 15 9530 Touch,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),3456 × 2160 px,60 Hz,NVIDIA GeForce,"87 390,-"
VICTUS by HP 15-fa1000nc Performance Blue,16 GB,Intel Core i5 13500H Raptor Lake,1 000 GB (1 TB),1920 × 1080 px,250 Nits,"8,5 h","28 990,-"
OMEN 16-wf0050nc Shadow black,32 GB,Intel Core i7 13700HX Raptor Lake,2 000 GB (2 TB),2560 × 1440 px,240 Hz,RTX 4070,"50 990,-"
Acer Predator Triton 17X Abyssal Black celokovový,64 GB,Intel Core i9 13900HX Raptor Lake,4 000 GB (4 TB),2560 × 1600 px,16:10,NVIDIA GeForce,"109 990,-"
MSI Titan GT77HX 13VH-232CZ,32 GB,Intel Core i9 13980HX Raptor Lake,2 000 GB (2 TB),3840 × 2160 px,144 Hz,2 000 GB,"89 990,-"
GIGABYTE AORUS 15X ASF,16 GB,Intel Core i9 13900HX Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,1 000 GB,"55 990,-"
HP ENVY 17-cw0002nc Natural Silver kovový,32 GB,Intel Core i7 1355U Raptor Lake,1 000 GB (1 TB),3840 × 2160 px,60 Hz,1 000 GB (1 TB),"44 490,-"
OMEN 16-k0050nc Black,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB (1 TB),"37 790,-"
MSI Stealth 15 A13VF-072CZ kovový,16 GB,Intel Core i7 13620H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,Windows 11 Home,"41 990,-"
OMEN Trascend 16-u0051nc Shadow Black Celokovový,32 GB,Intel Core i7 13700HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,240 Hz,RTX 4070,"53 190,-"
MSI Creator Z17HX Studio A13VGT-043CZ,32 GB,Intel Core i7 13700HX Raptor Lake,1 000 GB (1 TB),2560 × 1600 px,165 Hz,1 000 GB,"69 990,-"
Lenovo ThinkPad T15p Gen 3 Black,16 GB,Intel Core i7 12700H Alder Lake,"512 GB (0,51 TB)",3840 × 2160 px,60 Hz,Windows 11 Pro,"63 590,-"
MSI Creator Z17HX Studio A13VGT-042CZ,64 GB,Intel Core i9 13950HX Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,165 Hz,2 000 GB,"79 990,-"
MSI Summit E16Flip A13VET-091CZ,16 GB,Intel Core i7 1360P Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,165 Hz,2 000 GB (2 TB),"46 990,-"
Acer Nitro 5 Shale Black,16 GB,Intel Core i5 11400H Tiger Lake,1 000 GB (1 TB),1920 × 1080 px,144 Hz,Bez operačního systému,"21 990,-"
Dell XPS 15 (9520) Silver,16 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),1920 × 1200 px,60 Hz,RTX 3050 Ti,"63 490,-"
Dell Inspiron 14 Plus (7420),16 GB,Intel Core i5 12500H Alder Lake,"512 GB (0,51 TB)",2240 × 1400 px,60 Hz,NVIDIA GeForce,"29 990,-"
Acer Nitro 5 Shale Black,16 GB,Intel Core i5 11400H Tiger Lake,"512 GB (0,51 TB)",1920 × 1080 px,144 Hz,Bez operačního systému,"19 990,-"
Dell XPS 15 9530 Touch,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),3456 × 2160 px,60 Hz,NVIDIA GeForce,"86 890,-"
OMEN 16-wf0001nc Shadow black,32 GB,Intel Core i7 13700HX Raptor Lake,2 000 GB (2 TB),2560 × 1440 px,240 Hz,RTX 4080,"69 690,-"
MSI Raider GE78HX 13VG-028CZ,32 GB,Intel Core i9 13950HX Raptor Lake,2 000 GB (2 TB),2560 × 1600 px,240 Hz,2 000 GB,"61 990,-"
Dell XPS 15 9530 Touch,32 GB,Intel Core i9 13900H Raptor Lake,1 000 GB (1 TB),3456 × 2160 px,60 Hz,Windows 11 Pro,"82 090,-"
Microsoft Surface Laptop Studio Platinum for business,32 GB,Intel Core i7 11370H Tiger Lake,2 000 GB (2 TB),2400 × 1600 px,120 Hz,", Dotykový displej, Podpora stylusu, Operační systém, ","87 390,-"
Lenovo IdeaPad Gaming 3 15IAH7 Onyx Grey,16 GB,Intel Core i5 12450H Alder Lake,1 000 GB (1 TB),1920 × 1080 px,120 Hz,RTX 3050,"19 989,-"
MSI Prestige 15 A12UC-072CZ Kovový,16 GB,Intel Core i7 1280P Alder Lake,1 000 GB (1 TB),1920 × 1080 px,60 Hz,1 000 GB (1 TB),"27 990,-"
MSI Vector GP77 13VF-053CZ,16 GB,Intel Core i7 13700H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,1 000 GB (1 TB),"54 890,-"
Razer Blade 15 QHD Black,16 GB,Intel Core i7 13800H Raptor Lake,1 000 GB (1 TB),2560 × 1440 px,240 Hz,RTX 4070,"74 990,-"
Dell Inspiron 16 Plus (7620) Green,32 GB,Intel Core i7 12700H Alder Lake,1 000 GB (1 TB),3072 × 1920 px,60 Hz,Windows 11 Pro,"49 690,-"
OMEN 17-cm2000nc Shadow Black,32 GB,Intel Core i7 13700HX Raptor Lake,2 000 GB (2 TB),2560 × 1440 px,240 Hz,2 000 GB,"59 990,-"
Acer Nitro 5 Shale Black,32 GB,Intel Core i9 11900H Tiger Lake,1 000 GB (1 TB),2560 × 1440 px,165 Hz,1 000 GB,"41 990,-"
